Date,Gina Rinehart: (Worldwide),Australia: (Worldwide),New Zealand: (Worldwide),United States: (Worldwide),Chile: (Worldwide),Argentina: (Worldwide)
2024-03-02,3,53,33,7,23,27
2024-03-03,1,50,32,8,24,30
2024-03-04,2,47,29,12,28,29
2024-03-05,3,46,27,11,25,26
2024-03-06,2,47,26,12,24,28
2024-03-07,3,51,26,12,25,28
2024-03-08,2,53,25,11,24,25
2024-03-09,3,53,26,8,22,26
2024-03-10,1,60,34,8,35,28
2024-03-11,3,54,31,10,27,29
2024-03-12,2,49,27,11,25,27
2024-03-13,1,49,26,11,25,27
2024-03-14,5,47,25,11,25,29
2024-03-15,4,46,23,10,25,28
2024-03-16,3,44,24,7,27,27
2024-03-17,4,48,26,7,25,30
2024-03-18,1,51,26,13,27,30
2024-03-19,3,49,28,12,29,34
2024-03-20,1,50,27,11,28,34
2024-03-21,1,54,26,11,28,34
2024-03-22,2,48,32,10,43,49
2024-03-23,2,51,28,8,29,89
2024-03-24,2,65,29,8,25,33
2024-03-25,2,53,29,12,33,35
2024-03-26,1,51,28,11,61,49
2024-03-27,1,49,28,11,31,100
2024-03-28,1,46,25,11,26,29
2024-03-29,1,43,24,9,21,26
2024-03-30,3,42,24,7,24,27
2024-03-31,1,48,26,7,27,28
2024-04-01,1,47,27,10,28,25
2024-04-02,2,49,27,11,29,24
2024-04-03,2,46,27,11,28,27
2024-04-04,2,47,27,11,26,25
2024-04-05,1,47,24,11,26,26
2024-04-06,1,45,27,8,27,28
2024-04-07,1,48,30,8,37,29
2024-04-08,2,49,29,12,37,34
2024-04-09,2,49,29,12,27,25
2024-04-10,1,47,28,13,27,26
2024-04-11,1,46,27,12,26,27
2024-04-12,1,44,25,12,24,26
2024-04-13,1,50,24,9,23,25
2024-04-14,1,48,26,9,29,26
2024-04-15,1,53,25,12,26,30
2024-04-16,1,51,24,12,26,34
2024-04-17,3,47,25,12,24,28
2024-04-18,3,79,25,12,25,25
2024-04-19,3,49,25,11,25,24
2024-04-20,1,44,24,8,22,24
2024-04-21,1,55,26,8,28,26
2024-04-22,2,50,25,12,26,25
2024-04-23,2,47,26,11,25,26
2024-04-24,2,47,24,12,25,28
2024-04-25,1,46,25,12,24,28
2024-04-26,2,46,23,11,25,27
2024-04-27,2,42,23,7,24,23
2024-04-28,1,47,26,7,28,24
2024-04-29,2,49,25,12,28,26
2024-04-30,1,48,26,12,26,26
2024-05-01,2,52,27,13,22,24
2024-05-02,1,49,25,11,25,27
2024-05-03,2,45,24,11,23,26
2024-05-04,1,45,25,7,24,23
2024-05-05,1,46,26,8,29,26
2024-05-06,1,49,26,12,27,26
2024-05-07,1,48,25,11,25,26
2024-05-08,1,47,24,11,24,25
2024-05-09,1,48,26,11,23,24
2024-05-10,1,48,23,10,25,26
2024-05-11,2,43,25,6,21,24
2024-05-12,1,47,26,6,21,27
2024-05-13,1,49,26,11,28,29
2024-05-14,2,47,25,10,27,26
2024-05-15,28,47,25,11,23,26
2024-05-16,89,48,25,10,24,25
2024-05-17,100,45,24,9,24,25
2024-05-18,50,42,23,7,29,24
2024-05-19,28,45,25,7,24,25
2024-05-20,23,45,25,10,25,30
2024-05-21,27,47,25,24,22,31
2024-05-22,20,45,26,12,26,30
2024-05-23,15,46,24,25,26,28
2024-05-24,12,46,24,11,25,29
2024-05-25,8,42,24,22,24,28
2024-05-26,7,47,27,9,30,28
2024-05-27,12,47,28,7,29,28
2024-05-28,6,48,26,17,26,27
2024-05-29,5,55,27,9,26,26
2024-05-30,8,51,27,14,27,27
2024-05-31,8,68,24,10,25,26
2024-06-01,8,45,22,8,25,26
2024-06-02,7,44,23,18,29,27